n,p,tn
130000,0.1,104
130000,0.1,113
130000,0.1,114
130000,0.1,111
130000,0.1,111
130000,0.1,114
130000,0.1,123
130000,0.1,127
130000,0.1,113
130000,0.1,105
130000,0.1,112
130000,0.1,105
130000,0.1,126
130000,0.1,117
130000,0.1,115
130000,0.1,131
130000,0.1,126
130000,0.1,123
130000,0.1,107
130000,0.1,108
130000,0.1,120
130000,0.1,128
130000,0.1,103
130000,0.1,117
130000,0.1,123
130000,0.1,121
130000,0.1,126
130000,0.1,105
130000,0.1,125
130000,0.1,111
130000,0.1,114
130000,0.1,126
130000,0.1,107
130000,0.1,125
130000,0.1,105
130000,0.1,104
130000,0.1,128
130000,0.1,107
140000,0.1,104
140000,0.1,130
140000,0.1,112
140000,0.1,110
140000,0.1,117
140000,0.1,124
140000,0.1,125
140000,0.1,116
140000,0.1,102
140000,0.1,122
140000,0.1,116
140000,0.1,116
140000,0.1,139
140000,0.1,132
140000,0.1,125
140000,0.1,119
140000,0.1,156
140000,0.1,121
140000,0.1,112
140000,0.1,130
140000,0.1,130
140000,0.1,105
140000,0.1,112
140000,0.1,126
140000,0.1,101
140000,0.1,113
140000,0.1,115
140000,0.1,109
140000,0.1,107
140000,0.1,115
140000,0.1,132
140000,0.1,131
140000,0.1,119
140000,0.1,121
140000,0.1,112
140000,0.1,123
140000,0.1,129
140000,0.1,107
140000,0.1,111
140000,0.1,124
140000,0.1,127
140000,0.1,121
140000,0.1,121
140000,0.1,107
140000,0.1,108
140000,0.1,113
140000,0.1,121
140000,0.1,126
140000,0.1,111
140000,0.1,117
150000,0.1,119
150000,0.1,172
150000,0.1,116
150000,0.1,126
150000,0.1,114
150000,0.1,116
150000,0.1,114
150000,0.1,124
150000,0.1,116
150000,0.1,111
150000,0.1,106
150000,0.1,103
150000,0.1,111
150000,0.1,179
150000,0.1,150
150000,0.1,139
150000,0.1,107
150000,0.1,111
150000,0.1,125
150000,0.1,111
150000,0.1,122
150000,0.1,129
150000,0.1,106
150000,0.1,105
150000,0.1,116
150000,0.1,117
150000,0.1,122
150000,0.1,120
150000,0.1,118
150000,0.1,114
150000,0.1,130
150000,0.1,103
150000,0.1,113
150000,0.1,119
150000,0.1,133
150000,0.1,105
150000,0.1,110
150000,0.1,111
150000,0.1,107
150000,0.1,108
150000,0.1,103
150000,0.1,152
150000,0.1,141
150000,0.1,109
150000,0.1,131
150000,0.1,116
150000,0.1,111
150000,0.1,107
150000,0.1,134
150000,0.1,105
160000,0.1,128
160000,0.1,106
160000,0.1,130
160000,0.1,139
160000,0.1,100
160000,0.1,110
160000,0.1,109
160000,0.1,115
160000,0.1,118
160000,0.1,113
160000,0.1,132
160000,0.1,126
160000,0.1,120
160000,0.1,115
160000,0.1,130
160000,0.1,102
160000,0.1,114
160000,0.1,124
160000,0.1,132
160000,0.1,127
160000,0.1,150
160000,0.1,108
160000,0.1,100
160000,0.1,122
160000,0.1,123
160000,0.1,111
160000,0.1,112
160000,0.1,132
160000,0.1,137
160000,0.1,115
160000,0.1,121
160000,0.1,114
160000,0.1,110
160000,0.1,126
160000,0.1,124
160000,0.1,116
160000,0.1,105
160000,0.1,111
160000,0.1,120
160000,0.1,110
160000,0.1,134
160000,0.1,112
160000,0.1,102
160000,0.1,109
160000,0.1,116
160000,0.1,150
160000,0.1,114
160000,0.1,123
160000,0.1,105
160000,0.1,115
170000,0.1,114
170000,0.1,125
170000,0.1,113
170000,0.1,119
170000,0.1,112
170000,0.1,142
170000,0.1,115
170000,0.1,113
170000,0.1,117
170000,0.1,107
170000,0.1,128
170000,0.1,115
170000,0.1,120
170000,0.1,110
170000,0.1,123
170000,0.1,121
170000,0.1,111
170000,0.1,116
170000,0.1,110
170000,0.1,116
170000,0.1,113
170000,0.1,126
170000,0.1,124
170000,0.1,107
170000,0.1,121
170000,0.1,107
170000,0.1,111
170000,0.1,106
170000,0.1,114
170000,0.1,116
170000,0.1,131
170000,0.1,118
170000,0.1,120
170000,0.1,121
170000,0.1,147
170000,0.1,126
170000,0.1,104
170000,0.1,105
170000,0.1,122
170000,0.1,127
170000,0.1,112
170000,0.1,115
170000,0.1,123
170000,0.1,117
170000,0.1,115
170000,0.1,111
170000,0.1,121
170000,0.1,150
170000,0.1,119
170000,0.1,133
180000,0.1,125
180000,0.1,107
180000,0.1,114
180000,0.1,122
180000,0.1,118
180000,0.1,113
180000,0.1,112
180000,0.1,118
180000,0.1,110
180000,0.1,118
180000,0.1,128
180000,0.1,106
180000,0.1,112
180000,0.1,124
180000,0.1,139
180000,0.1,122
180000,0.1,166
180000,0.1,124
180000,0.1,113
180000,0.1,117
180000,0.1,151
180000,0.1,112
180000,0.1,120
180000,0.1,121
180000,0.1,137
180000,0.1,112
180000,0.1,112
180000,0.1,102
180000,0.1,110
180000,0.1,134
180000,0.1,113
180000,0.1,107
180000,0.1,113
180000,0.1,111
180000,0.1,112
180000,0.1,128
180000,0.1,111
180000,0.1,115
180000,0.1,128
180000,0.1,111
180000,0.1,115
180000,0.1,117
180000,0.1,116
180000,0.1,124
180000,0.1,130
180000,0.1,137
180000,0.1,124
180000,0.1,137
180000,0.1,131
180000,0.1,116
190000,0.1,137
190000,0.1,118
190000,0.1,117
190000,0.1,104
190000,0.1,114
190000,0.1,114
190000,0.1,107
190000,0.1,116
190000,0.1,102
190000,0.1,134
190000,0.1,117
190000,0.1,113
190000,0.1,109
190000,0.1,100
190000,0.1,106
190000,0.1,127
190000,0.1,115
190000,0.1,114
190000,0.1,138
190000,0.1,126
190000,0.1,123
190000,0.1,146
190000,0.1,101
190000,0.1,118
190000,0.1,160
190000,0.1,118
190000,0.1,112
190000,0.1,114
190000,0.1,112
190000,0.1,103
190000,0.1,126
190000,0.1,112
190000,0.1,111
190000,0.1,122
190000,0.1,119
190000,0.1,115
190000,0.1,126
190000,0.1,107
190000,0.1,120
190000,0.1,111
190000,0.1,121
190000,0.1,111
190000,0.1,115
190000,0.1,103
190000,0.1,110
190000,0.1,124
190000,0.1,124
190000,0.1,115
190000,0.1,110
190000,0.1,120
200000,0.1,123
200000,0.1,122
200000,0.1,119
200000,0.1,128
200000,0.1,127
200000,0.1,134
200000,0.1,121
200000,0.1,121
200000,0.1,115
200000,0.1,109
200000,0.1,137
200000,0.1,108
200000,0.1,117
200000,0.1,114
200000,0.1,125
200000,0.1,125
200000,0.1,142
200000,0.1,118
200000,0.1,131
200000,0.1,111
200000,0.1,115
200000,0.1,116
200000,0.1,124
200000,0.1,138
200000,0.1,115
200000,0.1,113
200000,0.1,123
200000,0.1,129
200000,0.1,116
200000,0.1,123
200000,0.1,104
200000,0.1,133
200000,0.1,105
200000,0.1,119
200000,0.1,107
200000,0.1,124
200000,0.1,111
200000,0.1,102
200000,0.1,130
200000,0.1,132
200000,0.1,141
200000,0.1,118
200000,0.1,115
200000,0.1,124
200000,0.1,116
200000,0.1,108
200000,0.1,113
200000,0.1,141
200000,0.1,129
200000,0.1,114
210000,0.1,121
210000,0.1,106
210000,0.1,112
210000,0.1,131
210000,0.1,121
210000,0.1,121
210000,0.1,119
210000,0.1,121
210000,0.1,125
210000,0.1,115
210000,0.1,123
210000,0.1,116
210000,0.1,137
210000,0.1,121
210000,0.1,122
210000,0.1,119
210000,0.1,124
210000,0.1,115
210000,0.1,119
210000,0.1,130
210000,0.1,118
210000,0.1,109
210000,0.1,128
210000,0.1,118
210000,0.1,116
210000,0.1,118
210000,0.1,114
210000,0.1,125
210000,0.1,131
210000,0.1,112
210000,0.1,104
210000,0.1,114
210000,0.1,109
210000,0.1,127
210000,0.1,116
210000,0.1,115
210000,0.1,122
210000,0.1,110
210000,0.1,123
210000,0.1,113
210000,0.1,123
210000,0.1,116
210000,0.1,114
210000,0.1,106
210000,0.1,115
210000,0.1,117
210000,0.1,124
210000,0.1,112
210000,0.1,129
210000,0.1,137
220000,0.1,107
220000,0.1,123
220000,0.1,139
220000,0.1,104
220000,0.1,131
220000,0.1,112
220000,0.1,107
220000,0.1,125
220000,0.1,113
220000,0.1,115
220000,0.1,116
